market,bid,offer,timestamp
FTSE 100,9104.3,9107.3,2025-08-04T05:20:30.024Z
FTSE 100,9104.2,9107.2,2025-08-04T05:20:30.496Z
FTSE 100,9104.3,9107.3,2025-08-04T05:20:31.287Z
FTSE 100,9104.5,9107.5,2025-08-04T05:20:31.907Z
FTSE 100,9104.9,9107.9,2025-08-04T05:20:33.446Z
FTSE 100,9105.4,9108.4,2025-08-04T05:20:35.063Z
FTSE 100,9105,9108,2025-08-04T05:20:35.615Z
FTSE 100,9104.8,9107.8,2025-08-04T05:20:37.342Z
FTSE 100,9104.6,9107.6,2025-08-04T05:20:37.504Z
FTSE 100,9104.9,9107.9,2025-08-04T05:20:39.396Z
FTSE 100,9105.4,9108.4,2025-08-04T05:20:40.986Z
FTSE 100,9104.9,9107.9,2025-08-04T05:20:41.087Z
FTSE 100,9104.7,9107.7,2025-08-04T05:20:41.446Z
FTSE 100,9105.1,9108.1,2025-08-04T05:20:41.539Z
FTSE 100,9105.6,9108.6,2025-08-04T05:20:42.091Z
FTSE 100,9106,9109,2025-08-04T05:20:42.256Z
FTSE 100,9106.3,9109.3,2025-08-04T05:20:43.093Z
FTSE 100,9105.9,9108.9,2025-08-04T05:20:43.665Z
FTSE 100,9105.5,9108.5,2025-08-04T05:20:44.507Z
FTSE 100,9105.1,9108.1,2025-08-04T05:20:45.560Z
FTSE 100,9105.6,9108.6,2025-08-04T05:20:45.723Z
FTSE 100,9105.2,9108.2,2025-08-04T05:20:47.098Z
FTSE 100,9104.8,9107.8,2025-08-04T05:20:47.883Z
FTSE 100,9105.2,9108.2,2025-08-04T05:20:48.032Z
FTSE 100,9104.9,9107.9,2025-08-04T05:20:49.285Z
FTSE 100,9105.3,9108.3,2025-08-04T05:20:49.379Z
FTSE 100,9104.8,9107.8,2025-08-04T05:20:49.502Z
FTSE 100,9105.3,9108.3,2025-08-04T05:20:50.533Z
FTSE 100,9105.7,9108.7,2025-08-04T05:20:51.661Z
FTSE 100,9106,9109,2025-08-04T05:20:52.389Z
FTSE 100,9106.4,9109.4,2025-08-04T05:20:52.704Z
FTSE 100,9106.6,9109.6,2025-08-04T05:20:53.052Z
FTSE 100,9106.4,9109.4,2025-08-04T05:20:53.152Z
FTSE 100,9106.1,9109.1,2025-08-04T05:20:53.332Z
FTSE 100,9106.4,9109.4,2025-08-04T05:20:53.496Z
FTSE 100,9105.9,9108.9,2025-08-04T05:20:54.484Z
FTSE 100,9106.3,9109.3,2025-08-04T05:20:56.092Z
FTSE 100,9105.8,9108.8,2025-08-04T05:20:56.276Z
FTSE 100,9105.4,9108.4,2025-08-04T05:20:57.099Z
FTSE 100,9105.8,9108.8,2025-08-04T05:20:57.345Z
FTSE 100,9105.4,9108.4,2025-08-04T05:20:59.626Z
FTSE 100,9105.8,9108.8,2025-08-04T05:21:00.311Z
FTSE 100,9106.1,9109.1,2025-08-04T05:21:00.581Z
FTSE 100,9106.4,9109.4,2025-08-04T05:21:01.279Z
FTSE 100,9106.1,9109.1,2025-08-04T05:21:01.960Z
FTSE 100,9106.4,9109.4,2025-08-04T05:21:02.095Z
FTSE 100,9105.9,9108.9,2025-08-04T05:21:02.368Z
FTSE 100,9105.5,9108.5,2025-08-04T05:21:03.357Z
FTSE 100,9106,9109,2025-08-04T05:21:03.454Z
FTSE 100,9106.3,9109.3,2025-08-04T05:21:04.132Z
FTSE 100,9106.5,9109.5,2025-08-04T05:21:04.370Z
FTSE 100,9106.6,9109.6,2025-08-04T05:21:05.939Z
FTSE 100,9106.4,9109.4,2025-08-04T05:21:06.552Z
FTSE 100,9106.1,9109.1,2025-08-04T05:21:07.399Z
FTSE 100,9105.6,9108.6,2025-08-04T05:21:08.028Z
FTSE 100,9105.1,9108.1,2025-08-04T05:21:08.491Z
FTSE 100,9105.6,9108.6,2025-08-04T05:21:09.471Z
FTSE 100,9105.4,9108.4,2025-08-04T05:21:09.592Z
FTSE 100,9105.1,9108.1,2025-08-04T05:21:10.457Z
FTSE 100,9104.7,9107.7,2025-08-04T05:21:10.854Z
FTSE 100,9105,9108,2025-08-04T05:21:11.315Z
FTSE 100,9105.5,9108.5,2025-08-04T05:21:11.484Z
FTSE 100,9105.8,9108.8,2025-08-04T05:21:12.369Z
FTSE 100,9106.3,9109.3,2025-08-04T05:21:13.505Z
FTSE 100,9105.8,9108.8,2025-08-04T05:21:14.475Z
FTSE 100,9106.3,9109.3,2025-08-04T05:21:15.615Z
FTSE 100,9106.5,9109.5,2025-08-04T05:21:16.048Z
FTSE 100,9106.2,9109.2,2025-08-04T05:21:17.360Z
FTSE 100,9105.9,9108.9,2025-08-04T05:21:17.615Z
FTSE 100,9105.4,9108.4,2025-08-04T05:21:19.078Z
FTSE 100,9105.7,9108.7,2025-08-04T05:21:19.522Z
FTSE 100,9106,9109,2025-08-04T05:21:19.919Z
FTSE 100,9106.3,9109.3,2025-08-04T05:21:21.333Z
FTSE 100,9106,9109,2025-08-04T05:21:22.224Z
FTSE 100,9106.4,9109.4,2025-08-04T05:21:22.324Z
FTSE 100,9106,9109,2025-08-04T05:21:22.881Z
FTSE 100,9106.2,9109.2,2025-08-04T05:21:22.982Z
FTSE 100,9106.7,9109.7,2025-08-04T05:21:23.078Z
FTSE 100,9106.8,9109.8,2025-08-04T05:21:24.389Z
FTSE 100,9106.6,9109.6,2025-08-04T05:21:25.360Z
FTSE 100,9106.3,9109.3,2025-08-04T05:21:25.453Z
FTSE 100,9106.6,9109.6,2025-08-04T05:21:26.486Z
FTSE 100,9106.7,9109.7,2025-08-04T05:21:26.824Z
FTSE 100,9106.4,9109.4,2025-08-04T05:21:27.354Z
FTSE 100,9106,9109,2025-08-04T05:21:28.245Z
FTSE 100,9105.7,9108.7,2025-08-04T05:21:28.487Z
FTSE 100,9106,9109,2025-08-04T05:21:29.952Z
FTSE 100,9106.3,9109.3,2025-08-04T05:21:30.438Z
FTSE 100,9106.5,9109.5,2025-08-04T05:21:30.541Z
FTSE 100,9106.2,9109.2,2025-08-04T05:21:31.414Z
FTSE 100,9106.4,9109.4,2025-08-04T05:21:32.621Z
FTSE 100,9106.6,9109.6,2025-08-04T05:21:33.483Z
FTSE 100,9106.7,9109.7,2025-08-04T05:21:33.940Z
FTSE 100,9106.5,9109.5,2025-08-04T05:21:34.663Z
FTSE 100,9106.7,9109.7,2025-08-04T05:21:35.306Z
FTSE 100,9106.8,9109.8,2025-08-04T05:21:35.529Z
FTSE 100,9106.6,9109.6,2025-08-04T05:21:36.190Z
FTSE 100,9106.4,9109.4,2025-08-04T05:21:36.533Z
FTSE 100,9106.6,9109.6,2025-08-04T05:21:36.722Z
FTSE 100,9106.7,9109.7,2025-08-04T05:21:37.357Z
FTSE 100,9106.3,9109.3,2025-08-04T05:21:41.341Z
FTSE 100,9106.6,9109.6,2025-08-04T05:21:43.486Z
FTSE 100,9106.3,9109.3,2025-08-04T05:21:44.543Z
FTSE 100,9106.5,9109.5,2025-08-04T05:21:44.643Z
FTSE 100,9106.1,9109.1,2025-08-04T05:21:44.886Z
FTSE 100,9105.6,9108.6,2025-08-04T05:21:44.987Z
FTSE 100,9105.4,9108.4,2025-08-04T05:21:45.089Z
FTSE 100,9105,9108,2025-08-04T05:21:45.245Z
FTSE 100,9105.4,9108.4,2025-08-04T05:21:47.095Z
FTSE 100,9105.8,9108.8,2025-08-04T05:21:47.310Z
FTSE 100,9105.2,9108.2,2025-08-04T05:21:47.495Z
FTSE 100,9105.7,9108.7,2025-08-04T05:21:47.898Z
FTSE 100,9106,9109,2025-08-04T05:21:48.036Z
FTSE 100,9106.2,9109.2,2025-08-04T05:21:49.171Z
FTSE 100,9105.9,9108.9,2025-08-04T05:21:49.367Z
FTSE 100,9106.3,9109.3,2025-08-04T05:21:50.420Z
FTSE 100,9106.4,9109.4,2025-08-04T05:21:50.676Z
FTSE 100,9106.6,9109.6,2025-08-04T05:21:51.239Z
FTSE 100,9106.3,9109.3,2025-08-04T05:21:51.410Z
FTSE 100,9106,9109,2025-08-04T05:21:52.062Z
FTSE 100,9106.2,9109.2,2025-08-04T05:21:52.379Z
FTSE 100,9106.3,9109.3,2025-08-04T05:21:52.634Z
FTSE 100,9106.1,9109.1,2025-08-04T05:21:54.081Z
FTSE 100,9105.6,9108.6,2025-08-04T05:21:56.525Z
FTSE 100,9106,9109,2025-08-04T05:21:57.095Z
FTSE 100,9106.1,9109.1,2025-08-04T05:21:57.275Z
FTSE 100,9105.8,9108.8,2025-08-04T05:21:58.228Z
FTSE 100,9106.1,9109.1,2025-08-04T05:21:58.432Z
FTSE 100,9105.8,9108.8,2025-08-04T05:21:58.954Z
FTSE 100,9106.1,9109.1,2025-08-04T05:21:59.161Z
FTSE 100,9106.2,9109.2,2025-08-04T05:21:59.331Z
FTSE 100,9106,9109,2025-08-04T05:21:59.626Z
FTSE 100,9106.2,9109.2,2025-08-04T05:22:00.454Z
FTSE 100,9105.7,9108.7,2025-08-04T05:22:00.556Z
FTSE 100,9106.1,9109.1,2025-08-04T05:22:00.692Z
FTSE 100,9105.6,9108.6,2025-08-04T05:22:01.349Z
FTSE 100,9106,9109,2025-08-04T05:22:03.509Z
FTSE 100,9106.3,9109.3,2025-08-04T05:22:03.654Z
FTSE 100,9105.8,9108.8,2025-08-04T05:22:03.744Z
FTSE 100,9105.4,9108.4,2025-08-04T05:22:04.035Z
FTSE 100,9105.2,9108.2,2025-08-04T05:22:04.472Z
FTSE 100,9105.8,9108.8,2025-08-04T05:22:04.560Z
FTSE 100,9105.3,9108.3,2025-08-04T05:22:05.721Z
FTSE 100,9105.9,9108.9,2025-08-04T05:22:06.576Z
FTSE 100,9105.5,9108.5,2025-08-04T05:22:06.671Z
FTSE 100,9105.8,9108.8,2025-08-04T05:22:07.627Z
FTSE 100,9106.2,9109.2,2025-08-04T05:22:08.020Z
FTSE 100,9106.5,9109.5,2025-08-04T05:22:08.560Z
FTSE 100,9106.2,9109.2,2025-08-04T05:22:09.061Z
FTSE 100,9105.7,9108.7,2025-08-04T05:22:09.307Z
FTSE 100,9106.2,9109.2,2025-08-04T05:22:09.554Z
FTSE 100,9105.6,9108.6,2025-08-04T05:22:10.382Z
FTSE 100,9105.2,9108.2,2025-08-04T05:22:10.511Z
FTSE 100,9104.9,9107.9,2025-08-04T05:22:10.599Z
FTSE 100,9104.5,9107.5,2025-08-04T05:22:10.679Z
FTSE 100,9104.4,9107.4,2025-08-04T05:22:11.619Z
FTSE 100,9104.6,9107.6,2025-08-04T05:22:11.781Z
FTSE 100,9104.9,9107.9,2025-08-04T05:22:12.012Z
FTSE 100,9105.2,9108.2,2025-08-04T05:22:12.464Z
FTSE 100,9104.7,9107.7,2025-08-04T05:22:12.569Z
FTSE 100,9104.5,9107.5,2025-08-04T05:22:12.758Z
FTSE 100,9104.3,9107.3,2025-08-04T05:22:12.935Z
FTSE 100,9104.2,9107.2,2025-08-04T05:22:13.503Z
FTSE 100,9104.4,9107.4,2025-08-04T05:22:13.714Z
FTSE 100,9104.6,9107.6,2025-08-04T05:22:14.126Z
FTSE 100,9105.1,9108.1,2025-08-04T05:22:14.521Z
FTSE 100,9104.8,9107.8,2025-08-04T05:22:14.629Z
FTSE 100,9104.6,9107.6,2025-08-04T05:22:14.821Z
FTSE 100,9104.4,9107.4,2025-08-04T05:22:14.996Z
FTSE 100,9104.6,9107.6,2025-08-04T05:22:15.379Z
FTSE 100,9104.7,9107.7,2025-08-04T05:22:15.473Z
FTSE 100,9104.5,9107.5,2025-08-04T05:22:15.574Z
FTSE 100,9104.4,9107.4,2025-08-04T05:22:17.536Z
FTSE 100,9104.2,9107.2,2025-08-04T05:22:17.635Z
FTSE 100,9104.4,9107.4,2025-08-04T05:22:17.741Z
FTSE 100,9104.8,9107.8,2025-08-04T05:22:18.087Z
FTSE 100,9105.2,9108.2,2025-08-04T05:22:18.187Z
FTSE 100,9104.8,9107.8,2025-08-04T05:22:18.490Z
FTSE 100,9104.6,9107.6,2025-08-04T05:22:18.582Z
FTSE 100,9104.4,9107.4,2025-08-04T05:22:18.980Z
FTSE 100,9104.3,9107.3,2025-08-04T05:22:20.881Z
FTSE 100,9104.2,9107.2,2025-08-04T05:22:20.980Z
FTSE 100,9104.4,9107.4,2025-08-04T05:22:21.095Z
FTSE 100,9104.2,9107.2,2025-08-04T05:22:21.468Z
FTSE 100,9104.4,9107.4,2025-08-04T05:22:21.567Z
FTSE 100,9104.2,9107.2,2025-08-04T05:22:21.980Z
FTSE 100,9104.1,9107.1,2025-08-04T05:22:22.084Z
FTSE 100,9104.3,9107.3,2025-08-04T05:22:22.184Z
FTSE 100,9104.6,9107.6,2025-08-04T05:22:22.554Z
FTSE 100,9105,9108,2025-08-04T05:22:22.655Z
FTSE 100,9104.7,9107.7,2025-08-04T05:22:22.906Z
FTSE 100,9104.5,9107.5,2025-08-04T05:22:23.034Z
FTSE 100,9104.4,9107.4,2025-08-04T05:22:23.155Z
